race,sex,age,priors_count,c_charge_degree,two_year_recid
African-American,Female,26,2,F,1
African-American,Male,41,0,M,0
Caucasian,Male,52,0,F,0
Caucasian,Male,43,13,F,1
African-American,Male,52,0,F,0
Caucasian,Male,28,1,F,0
African-American,Male,30,11,M,1
Caucasian,Male,28,1,F,0
African-American,Male,22,0,F,0
African-American,Male,30,4,F,0
Hispanic,Male,25,4,F,0
Caucasian,Male,31,0,F,1
Caucasian,Male,37,0,F,1
African-American,Male,32,14,F,0
African-American,Male,26,4,M,0
Caucasian,Male,53,1,M,0
African-American,Male,28,25,F,1
Caucasian,Male,44,8,M,1
African-American,Male,25,0,F,0
Caucasian,Male,22,1,M,1
Other,Female,37,0,M,0
Other,Female,40,3,F,0
Caucasian,Male,36,8,F,1
Caucasian,Male,30,4,F,0
African-American,Male,22,3,M,1
Caucasian,Female,24,1,M,1
African-American,Male,27,3,M,1
Hispanic,Female,31,0,M,0
Hispanic,Male,23,1,F,1
Caucasian,Female,23,5,F,1
Hispanic,Male,24,0,M,0
African-American,Male,29,1,M,0
African-American,Male,20,1,F,1
African-American,Male,30,2,F,1
Other,Male,39,0,F,0
African-American,Male,27,4,F,0
Caucasian,Male,31,2,M,0
African-American,Female,37,2,F,0
African-American,Male,20,0,F,0
Hispanic,Male,22,0,F,0
African-American,Female,52,0,F,0
African-American,Female,23,0,F,1
African-American,Female,48,0,F,0
African-American,Male,66,8,F,1
Caucasian,Male,25,0,F,0
Caucasian,Male,27,0,F,1
African-American,Male,30,11,F,1
African-American,Male,22,3,M,1
Caucasian,Female,22,1,F,0
African-American,Male,35,2,F,0
Caucasian,Male,32,2,F,0
African-American,Female,41,2,M,0
Other,Female,25,0,F,0
African-American,Male,44,24,M,0
African-American,Male,52,3,F,1
African-American,Male,43,0,F,0
Caucasian,Male,37,3,F,0
African-American,Male,28,3,M,1
Caucasian,Male,70,1,M,0
Caucasian,Male,54,6,F,1
Caucasian,Male,46,3,F,0
African-American,Male,21,0,M,1
African-American,Male,26,1,M,1
Hispanic,Male,38,3,F,1
Caucasian,Male,34,5,M,0
African-American,Male,19,1,F,1
African-American,Male,34,5,M,0
Caucasian,Male,23,0,F,1
African-American,Male,34,5,F,1
African-American,Male,30,2,F,0
African-American,Male,39,6,F,1
Other,Male,24,0,F,0
Caucasian,Male,33,1,M,1
Caucasian,Male,58,2,F,0
African-American,Female,21,0,M,0
African-American,Male,21,1,F,0
African-American,Male,23,4,M,1
Caucasian,Male,62,0,F,0
African-American,Male,27,4,M,1
Caucasian,Male,37,5,F,0
Other,Male,43,2,F,1
African-American,Female,32,5,F,0
Hispanic,Male,23,0,F,0
African-American,Male,27,0,M,0
Caucasian,Male,44,0,M,1
Caucasian,Male,28,3,M,1
Caucasian,Female,42,0,F,0
Other,Male,24,9,F,1
African-American,Male,27,0,F,0
African-American,Male,20,0,F,1
Caucasian,Female,51,0,M,0
Caucasian,Male,56,0,M,0
African-American,Male,29,7,F,0
African-American,Male,20,0,F,1
Caucasian,Male,53,6,F,0
Caucasian,Male,27,8,F,0
African-American,Male,24,2,F,1
Caucasian,Male,53,36,F,1
Caucasian,Male,28,2,M,1
African-American,Male,45,1,F,0
Hispanic,Male,21,3,F,0
African-American,Female,36,0,F,0
Caucasian,Female,25,2,M,1
Hispanic,Female,23,1,M,0
Caucasian,Male,28,1,F,0
African-American,Female,21,0,F,1
Caucasian,Male,36,0,M,0
African-American,Male,24,0,F,0
African-American,Male,28,3,F,1
Other,Male,30,1,F,1
African-American,Male,29,0,F,0
Caucasian,Female,30,0,M,0
Hispanic,Male,51,1,M,0
Other,Male,33,3,F,0
African-American,Female,25,2,F,0
African-American,Male,32,12,F,1
African-American,Male,23,1,F,0
African-American,Male,47,3,F,0
Hispanic,Female,32,1,F,1
Caucasian,Male,37,0,F,0
African-American,Male,19,2,F,1
Hispanic,Male,27,0,M,0
Other,Male,39,0,M,0
Caucasian,Female,21,0,F,0
Caucasian,Male,69,0,M,0
Caucasian,Male,21,2,F,0
African-American,Male,26,6,M,1
Caucasian,Male,22,0,F,0
African-American,Female,23,0,F,1
African-American,Male,49,3,F,0
African-American,Male,29,2,M,0
Caucasian,Female,60,0,M,0
African-American,Female,26,0,M,0
African-American,Male,23,3,F,1
Hispanic,Male,34,2,M,1
Other,Female,20,1,F,0
Hispanic,Male,36,1,F,0
Caucasian,Male,30,0,F,0
African-American,Male,21,1,F,0
Caucasian,Male,22,2,M,1
African-American,Male,57,18,F,0
African-American,Male,21,4,F,1
African-American,Male,21,0,F,1
Caucasian,Male,34,1,M,0
Caucasian,Female,50,1,M,1
Caucasian,Male,40,0,F,1
African-American,Male,25,7,F,1
Caucasian,Female,53,1,M,0
African-American,Female,24,0,F,0
African-American,Male,42,1,F,0
African-American,Male,28,1,M,0
Caucasian,Male,24,1,M,0
African-American,Male,26,6,F,1
African-American,Male,22,4,F,1
Caucasian,Male,21,3,M,0
African-American,Male,37,23,F,1
African-American,Male,35,2,F,0
African-American,Male,53,2,F,0
African-American,Male,60,1,F,0
African-American,Male,29,7,F,0
Caucasian,Male,48,23,F,1
Caucasian,Female,52,0,M,0
African-American,Male,27,12,F,1
African-American,Male,28,5,F,0
Caucasian,Male,33,3,M,0
Hispanic,Female,28,0,F,0
Caucasian,Male,47,5,F,1
African-American,Male,36,14,F,1
African-American,Male,29,2,F,0
African-American,Male,22,0,M,1
African-American,Male,26,6,F,0
Caucasian,Male,25,0,F,0
Caucasian,Male,68,2,F,0
African-American,Male,56,5,F,0
African-American,Male,27,9,F,1
Caucasian,Male,52,4,F,1
African-American,Male,32,3,F,0
Other,Male,60,4,F,0
Hispanic,Male,23,1,M,0
Caucasian,Female,39,0,M,0
Caucasian,Male,56,0,M,0
African-American,Female,22,0,F,0
African-American,Female,27,1,F,1
African-American,Male,53,11,F,0
Caucasian,Male,25,0,M,1
Hispanic,Male,21,0,M,0
Caucasian,Male,22,0,F,0
Caucasian,Female,58,2,M,0
African-American,Male,31,7,M,1
Caucasian,Male,22,1,F,1
African-American,Male,28,8,F,1
Other,Male,42,1,F,0
African-American,Male,20,0,F,1
Caucasian,Male,29,0,M,1
African-American,Male,29,8,F,0
African-American,Male,58,21,M,1
African-American,Male,22,3,F,0
Hispanic,Male,48,1,M,1
Caucasian,Male,37,0,F,0
African-American,Male,57,1,F,1
Caucasian,Male,27,3,M,0
African-American,Male,26,3,F,0
Caucasian,Male,24,3,F,1
Caucasian,Male,33,0,F,0
African-American,Male,29,2,F,0
African-American,Female,24,3,F,1
Caucasian,Male,19,1,F,1
Caucasian,Male,36,2,M,0
Caucasian,Female,24,0,F,0
Caucasian,Male,34,0,M,0
Hispanic,Male,25,2,F,1
African-American,Male,20,1,F,1
Hispanic,Male,28,2,M,1
African-American,Male,24,1,M,1
Caucasian,Male,61,4,F,0
African-American,Female,50,3,F,0
African-American,Male,30,1,M,0
African-American,Male,38,5,F,0
Caucasian,Male,24,0,M,0
African-American,Male,45,16,F,0
African-American,Female,46,2,F,1
Caucasian,Male,41,0,M,1
Other,Male,20,0,F,1
African-American,Male,27,13,M,1
African-American,Female,51,16,F,0
African-American,Male,26,1,M,1
African-American,Male,29,3,F,1
Caucasian,Male,52,6,F,1
Caucasian,Male,28,1,F,1
Native American,Female,34,4,F,1
African-American,Male,55,5,F,1
African-American,Male,26,10,F,1
African-American,Male,28,5,F,0
Caucasian,Male,63,2,F,0
African-American,Male,42,0,F,0
African-American,Male,23,6,F,0
African-American,Male,54,28,F,1
African-American,Male,35,8,F,1
African-American,Female,24,6,F,1
African-American,Male,54,2,M,0
African-American,Male,58,12,M,1
Caucasian,Male,23,1,M,1
African-American,Male,35,1,M,0
African-American,Male,20,1,F,1
Caucasian,Male,51,0,F,0
Hispanic,Male,24,0,F,0
Caucasian,Male,37,3,F,0
Caucasian,Male,47,3,F,0
Caucasian,Male,34,4,F,1
Caucasian,Male,56,0,F,0
Hispanic,Male,34,4,F,1
Caucasian,Male,59,1,F,1
Asian,Male,35,0,F,0
Hispanic,Male,58,1,F,0
Hispanic,Male,29,2,M,0
Caucasian,Female,24,6,F,1
Caucasian,Male,21,2,M,1
African-American,Male,26,2,M,0
Asian,Male,50,5,F,1
African-American,Male,26,1,F,0
Caucasian,Female,30,0,M,0
Caucasian,Male,29,6,F,1
Caucasian,Male,29,0,M,1
African-American,Male,54,0,M,0
African-American,Male,29,4,F,1
Caucasian,Female,59,0,M,0
African-American,Male,38,0,F,0
Hispanic,Female,22,2,F,1
African-American,Male,29,4,F,1
Caucasian,Male,27,1,M,1
Hispanic,Male,26,7,F,1
Hispanic,Male,52,20,F,0
African-American,Male,66,33,F,1
Caucasian,Male,27,2,F,0
Caucasian,Male,51,1,M,0
Caucasian,Male,35,1,F,0
African-American,Male,26,1,F,0
Caucasian,Male,52,4,M,0
African-American,Female,35,12,M,0
Other,Male,48,12,F,0
African-American,Female,26,0,M,0
Caucasian,Female,48,0,M,0
Hispanic,Male,30,7,M,0
Other,Male,28,2,M,0
African-American,Male,33,2,M,0
African-American,Female,34,6,F,0
Other,Male,25,0,M,0
African-American,Male,59,10,F,1
African-American,Male,29,5,F,1
Caucasian,Male,24,0,F,0
Caucasian,Male,48,1,F,1
African-American,Male,55,0,M,1
African-American,Male,52,4,M,0
African-American,Male,20,0,F,1
Caucasian,Male,25,4,F,1
Caucasian,Male,24,0,F,0
Caucasian,Male,23,0,M,0
Caucasian,Male,27,6,F,0
African-American,Male,25,1,M,1
African-American,Male,31,0,F,0
African-American,Male,25,6,F,1
Caucasian,Male,32,1,F,1
Caucasian,Male,21,0,F,1
Other,Male,37,1,F,0
Caucasian,Male,25,0,F,0
Hispanic,Male,32,20,F,0
African-American,Male,35,0,F,0
African-American,Male,42,14,F,1
Caucasian,Male,24,9,M,1
Caucasian,Male,22,6,F,1
Hispanic,Male,21,0,F,1
Caucasian,Male,47,1,M,0
African-American,Male,27,5,F,1
Hispanic,Male,43,2,M,1
Caucasian,Male,46,2,F,1
African-American,Male,44,1,M,0
African-American,Male,27,0,F,0
Caucasian,Male,23,2,F,0
Hispanic,Female,50,1,F,0
African-American,Male,42,8,F,0
African-American,Male,58,6,F,0
African-American,Male,26,3,F,0
Other,Female,48,0,F,0
African-American,Male,39,3,F,1
African-American,Male,21,3,F,1
Caucasian,Male,63,1,M,0
African-American,Male,22,3,F,1
African-American,Male,50,3,M,0
African-American,Male,38,0,F,0
Caucasian,Male,41,1,F,0
African-American,Male,28,16,F,1
African-American,Female,30,0,M,0
African-American,Male,23,1,F,0
Caucasian,Male,25,2,F,1
Caucasian,Male,40,5,F,0
Hispanic,Male,24,8,F,0
African-American,Male,27,5,M,1
Caucasian,Male,44,11,M,0
African-American,Female,35,6,F,1
Caucasian,Male,42,0,M,0
African-American,Male,38,15,F,0
Hispanic,Male,26,4,F,0
African-American,Female,25,0,M,0
Caucasian,Male,24,1,F,0
Hispanic,Male,64,1,F,0
Caucasian,Female,49,2,M,1
Caucasian,Male,50,5,F,1
Caucasian,Male,28,8,F,1
Caucasian,Male,66,0,M,1
Caucasian,Female,46,0,M,0
African-American,Male,30,5,F,1
Caucasian,Female,22,0,M,0
Caucasian,Male,23,1,M,0
Other,Male,30,0,M,1
African-American,Male,24,10,F,1
Hispanic,Male,31,0,M,0
Other,Male,31,1,F,0
African-American,Male,21,4,F,1
African-American,Male,28,4,F,0
African-American,Male,25,0,M,0
Caucasian,Female,21,0,F,0
African-American,Male,27,0,M,0
Hispanic,Male,20,0,M,1
Hispanic,Male,32,1,F,0
Caucasian,Female,24,0,F,0
African-American,Male,20,1,F,0
African-American,Male,31,3,M,1
African-American,Male,27,3,M,1
African-American,Male,59,17,F,1
African-American,Male,40,0,F,0
African-American,Male,22,11,F,1
African-American,Female,38,1,F,0
Hispanic,Male,36,1,M,1
African-American,Male,30,1,M,0
Caucasian,Male,27,6,F,1
African-American,Male,43,1,M,0
Caucasian,Female,59,0,M,0
Caucasian,Male,37,2,M,0
African-American,Male,28,5,M,1
Caucasian,Male,38,0,F,0
African-American,Male,22,0,F,1
Hispanic,Male,43,1,M,0
African-American,Male,25,4,F,1
Caucasian,Male,51,0,M,0
Hispanic,Male,30,6,F,1
Caucasian,Male,29,2,M,1
African-American,Male,28,10,F,0
African-American,Male,26,6,M,0
African-American,Male,55,9,M,1
Caucasian,Female,23,3,F,0
African-American,Female,22,0,M,0
Caucasian,Female,19,2,F,1
African-American,Male,31,1,M,0
African-American,Male,29,0,M,0
African-American,Male,61,15,F,1
African-American,Male,24,4,F,1
Hispanic,Male,31,0,M,0
African-American,Male,20,4,F,1
Caucasian,Male,26,3,F,1
Caucasian,Male,27,5,M,0
Caucasian,Male,25,1,F,0
Caucasian,Male,23,3,F,1
African-American,Male,38,0,F,0
African-American,Male,27,18,F,1
Caucasian,Female,35,0,F,1
Other,Male,22,0,F,0
African-American,Female,58,4,F,1
Caucasian,Female,57,0,M,1
African-American,Male,21,0,F,0
African-American,Female,22,0,F,0
African-American,Male,30,0,F,0
Caucasian,Male,24,1,F,1
Caucasian,Male,22,2,F,1
Caucasian,Male,29,3,F,1
African-American,Male,30,8,F,1
African-American,Female,31,10,F,0
Caucasian,Female,45,1,F,0
African-American,Male,23,4,F,0
Caucasian,Male,39,2,F,1
African-American,Male,31,0,F,1
African-American,Male,22,1,F,1
African-American,Female,27,9,F,1
African-American,Male,27,13,F,1
Caucasian,Male,38,1,F,1
African-American,Male,31,23,F,1
African-American,Male,47,20,F,0
African-American,Male,22,3,F,0
African-American,Male,35,1,M,1
Hispanic,Male,23,2,M,1
African-American,Male,65,2,M,1
African-American,Male,35,0,M,0
African-American,Female,33,0,F,0
Caucasian,Male,53,1,M,0
Hispanic,Male,52,0,F,0
African-American,Male,21,0,F,0
African-American,Male,37,11,F,0
Other,Male,30,4,M,1
Caucasian,Male,33,5,F,0
African-American,Male,31,2,M,0
Other,Male,54,0,F,0
African-American,Female,31,0,M,0
Caucasian,Female,59,2,F,0
African-American,Male,27,0,M,0
African-American,Male,36,0,M,1
African-American,Male,46,17,F,1
African-American,Male,22,3,F,0
Caucasian,Female,28,0,M,0
Caucasian,Female,34,15,F,1
Hispanic,Male,29,7,F,1
African-American,Male,23,2,M,1
African-American,Male,27,3,F,0
Asian,Male,21,0,F,1
Caucasian,Male,48,3,F,1
African-American,Male,30,15,F,1
African-American,Female,32,2,F,0
African-American,Male,31,5,F,0
African-American,Male,36,4,M,0
African-American,Male,36,1,M,0
African-American,Male,44,14,F,1
Caucasian,Male,53,2,F,0
African-American,Male,33,3,M,1
African-American,Male,21,2,F,0
African-American,Male,33,4,F,1
Caucasian,Male,47,2,F,1
African-American,Male,57,20,F,1
African-American,Male,28,2,M,0
African-American,Male,24,1,M,0
African-American,Male,44,1,F,0
African-American,Male,46,0,F,0
African-American,Male,37,6,F,0
African-American,Male,26,10,M,1
African-American,Male,27,10,F,1
Caucasian,Male,40,1,F,0
Caucasian,Female,60,9,F,1
Caucasian,Male,53,1,F,0
African-American,Male,26,8,F,0
African-American,Male,28,0,F,0
Hispanic,Male,23,0,M,0
Caucasian,Female,46,2,F,0
African-American,Male,23,0,F,1
African-American,Male,37,5,F,1
African-American,Male,44,1,M,0
African-American,Male,50,18,F,1
African-American,Male,45,0,M,0
African-American,Male,22,1,F,0
Caucasian,Male,26,1,F,1
Caucasian,Male,62,0,F,0
Caucasian,Male,34,0,M,1
Hispanic,Male,24,1,F,0
Caucasian,Male,21,0,M,0
Caucasian,Male,25,0,F,1
Caucasian,Male,68,0,M,0
Caucasian,Male,41,2,M,0
Caucasian,Male,21,1,F,0
Hispanic,Female,37,1,F,0
African-American,Male,22,0,F,0
Caucasian,Male,38,11,F,1
Caucasian,Male,42,1,F,0
Caucasian,Male,22,1,F,1
African-American,Male,45,0,F,1
African-American,Female,36,4,F,1
African-American,Male,48,2,F,0
Caucasian,Female,45,1,F,0
African-American,Male,23,6,F,1
African-American,Male,24,0,F,0
African-American,Male,29,0,F,0
African-American,Male,24,0,F,0
African-American,Male,50,11,F,0
African-American,Male,34,10,F,1
African-American,Male,23,0,F,0
Caucasian,Female,22,0,M,0
Other,Male,36,0,F,0
Caucasian,Male,30,22,F,1
African-American,Male,21,0,F,1
Caucasian,Female,53,0,F,0
Caucasian,Male,24,1,F,0
African-American,Male,25,7,M,1
African-American,Female,25,1,M,0
African-American,Male,71,8,F,0
African-American,Male,39,10,M,0
African-American,Female,37,0,F,0
African-American,Male,20,0,F,1
African-American,Female,29,3,F,0
African-American,Male,22,2,F,1
African-American,Male,26,4,F,1
Hispanic,Male,35,5,F,0
African-American,Female,47,19,F,1
Other,Male,21,1,F,1
Other,Female,23,0,M,0
Caucasian,Female,20,1,F,1
African-American,Female,23,0,F,0
Native American,Male,27,3,M,0
Caucasian,Male,55,18,F,1
African-American,Female,53,0,F,0
African-American,Female,23,0,F,0
African-American,Male,26,5,F,1
African-American,Male,25,6,F,0
Other,Male,23,2,M,0
African-American,Male,27,4,F,1
African-American,Male,26,2,M,0
African-American,Male,29,1,M,0
Other,Male,27,1,F,1
Hispanic,Male,28,0,F,0
African-American,Male,31,0,M,0
African-American,Male,41,8,F,1
Caucasian,Male,25,0,M,0
Caucasian,Male,47,0,M,0
African-American,Male,37,4,F,0
African-American,Female,35,4,F,0
Caucasian,Male,24,1,M,1
Caucasian,Male,21,2,F,1
Caucasian,Male,22,0,F,1
African-American,Male,57,11,F,0
Caucasian,Male,48,0,F,0
Other,Male,36,0,F,0
African-American,Female,37,3,F,0
Caucasian,Male,31,0,M,0
African-American,Male,22,1,F,1
Caucasian,Male,31,2,M,0
African-American,Male,24,0,F,1
African-American,Male,32,22,F,1
Other,Female,23,0,M,0
African-American,Male,63,0,M,0
Other,Male,30,0,F,0
Caucasian,Male,26,2,F,1
Caucasian,Male,48,2,M,0
Caucasian,Male,20,0,F,0
African-American,Female,24,1,M,1
African-American,Female,36,1,M,0
Hispanic,Male,83,0,M,0
Caucasian,Male,28,2,F,0
African-American,Male,36,3,F,1
African-American,Female,33,0,M,0
African-American,Male,39,0,F,0
Other,Male,29,3,M,0
African-American,Male,30,17,F,1
Caucasian,Female,19,1,M,1
African-American,Male,24,1,F,1
Hispanic,Male,36,11,F,0
Caucasian,Female,29,1,F,0
African-American,Male,35,7,F,0
African-American,Male,24,0,F,0
Caucasian,Male,26,0,M,0
Caucasian,Male,26,8,F,0
African-American,Male,52,7,M,0
African-American,Male,28,14,F,1
African-American,Male,32,0,M,0
Caucasian,Female,32,1,M,1
African-American,Male,33,5,M,1
African-American,Male,29,16,F,0
Caucasian,Male,34,1,M,1
Other,Female,37,0,M,1
Caucasian,Male,43,0,M,0
Caucasian,Male,47,2,F,0
African-American,Male,25,3,M,1
African-American,Female,23,1,F,0
Caucasian,Male,39,2,M,0
African-American,Male,35,13,F,1
Other,Male,33,0,F,0
Other,Male,21,0,F,1
African-American,Male,43,20,F,0
African-American,Male,25,3,F,1
African-American,Male,48,25,F,1
African-American,Male,22,1,M,1
African-American,Male,52,9,M,1
Caucasian,Male,26,5,F,1
African-American,Male,67,4,M,1
African-American,Male,34,4,M,0
Caucasian,Male,56,4,M,0
African-American,Male,28,1,F,1
African-American,Male,29,2,M,0
African-American,Female,24,0,M,1
African-American,Male,37,6,F,1
Other,Male,43,3,F,0
Caucasian,Male,51,0,F,0
African-American,Male,20,1,M,1
Caucasian,Male,26,4,M,1
Caucasian,Female,39,1,M,1
African-American,Male,21,1,F,0
African-American,Male,21,1,F,1
Caucasian,Male,24,3,F,1
African-American,Male,26,4,M,1
Caucasian,Male,48,1,F,0
African-American,Male,24,5,F,1
Caucasian,Male,26,0,F,0
Caucasian,Male,46,0,F,0
Hispanic,Female,30,1,M,0
African-American,Male,24,7,M,0
Caucasian,Female,21,0,M,0
African-American,Male,24,1,F,1
African-American,Male,30,1,F,0
African-American,Male,36,9,M,0
African-American,Male,30,5,F,1
Caucasian,Female,22,1,F,0
African-American,Male,25,0,F,1
African-American,Male,31,25,M,1
African-American,Male,24,0,F,0
African-American,Male,39,13,F,1
Other,Male,46,0,F,0
African-American,Male,48,5,M,1
African-American,Female,30,4,F,0
Caucasian,Male,40,0,F,0
African-American,Female,52,0,F,0
African-American,Male,23,3,F,0
African-American,Female,26,1,M,0
Caucasian,Male,22,1,F,1
Caucasian,Male,42,3,F,0
African-American,Male,23,6,F,1
Other,Male,33,4,F,1
African-American,Male,28,1,F,0
Caucasian,Female,37,4,M,0
Caucasian,Male,50,1,F,0
